Odie,Osa
Olen,Otelia
Oral,Paralee
Orley,Patience
Otha,Rella
Press,Rillie
Price,Rosanna
Quincy,Theo
Randall,Tilda
Rich,Tishie
Richmond,Tressa
Romeo,Viva
Russel,Yetta
Rutherford,Zena
Shade,Zola
Shelby,Abby
Solon,Aileen
Thurman,Alba
Tilden,Alda
Troy,Alla
Woodson,Alverta
Worth,Ara
Aden,Ardelia
Alcide,Ardella
Alf,Arrie
Algie,Arvilla
Arlie,Augustine
Bart,Aurora
Bedford,Bama
Benito,Bena
Billy,Byrd
Bird,Calla
Birt,Camilla
Bruno,Carey
Burley,Carlotta
Chancy,Celestia
Claus,Cherry
Cliff,Cinda
Clovis,Classie
Connie,Claudine
Creed,Clemie
Delos,Clifford
Duke,Clyda
Eber,Creola
Eligah,Debbie
Elliot,Dee
Elton,Dinah
Emmitt,Doshia
Gene,Ednah
Golden,Edyth
Hal,Eleanora
Hardin,Electa
Harman,Eola
Hervey,Erie
Hollis,Eudora
Ivey,Euphemia
Jennie,Evalena
Len,Evaline
Lindsay,Faith
Lonie,Fidelia
Lyle,Freddie
Mac,Golda
Mal,Harry
Math,Helma
Miller,Hermine
Orson,Hessie
Osborne,Ivah
Percival,Janette
Pleas,Jennette
Ples,Joella
Rafael,Kathryne
Raoul,Lacy
Roderick,Lanie
Rose,Lauretta
Shelton,Leana
Sid,Leatha
Theron,Leo
Tobias,Liller
Toney,Lillis
Tyler,Louetta
Vance,Madie
Vivian,Mai
Walton,Martina
Watt,Maryann
Weaver,Melva
Wilton,Mena
Adolf,Mercedes
Albin,Merle
Albion,Mima
Allison,Minda
Alpha,Monica
Alpheus,Nealie
Anastacio,Netta
Andre,Nolia
Annie,Nonie
Arlington,Odelia
Armand,Ottilie
Asberry,Phyllis
Asbury,Robbie
Asher,Sabina
Augustin,Sada
Auther,Sammie
Author,Suzanne
Ballard,Sybilla
Blas,Thea
Caesar,Tressie
Candido,Vallie
Cato,Venie
Clarke,Viney
Clemente,Wilhelmine
Colin,Winona
Commodore,Zelda
Cora,Zilpha
Coy,Adelle
Cruz,Adina
Curt,Adrienne
Damon,Albertine
Davie,Alys
Delmar,Ana
Dexter,Araminta
Dora,Arthur
Doss,Birtha
Drew,Bulah
Edson,Caddie
Elam,Celie
Elihu,Charlotta
Eliza,Clair
Elsie,Concepcion
Erie,Cordella
Ernie,Corrine
Ethel,Delila
Ferd,Delphine
Friend,Dosha
Garry,Edgar
Gary,Elaine
Grace,Elisa
Gustaf,Ellar
Hallie,Elmire
Hampton,Elvina
Harrie,Ena
Hattie,Estie
Hence,Etter
Hillard,Fronnie
Hollie,Genie
Holmes,Georgina
Hope,Glenn
Hyman,Gracia
Ishmael,Guadalupe
Jarrett,Gwendolyn
Jessee,Hassie
Joeseph,Honora
Junious,Icy
Kirk,Isa
Levy,Isadora
Mervin,Jesse
Michel,Jewel
Milford,Joe
Mitchel,Johannah
Nellie,Juana
Noble,Judith
Obed,Judy
Oda,Junie
Orren,Lavonia
Ottis,Lella
Rafe,Lemma
Redden,Letty
Reese,Linna
Rube,Littie
Ruby,Lollie
Rupert,Lorene
Salomon,Louis
Sammie,Love
Sanders,Lovisa
Soloman,Lucina
Stacy,Lynn
Stanford,Madora
Stanton,Mahalia
Thad,Manervia
Titus,Manuela
Tracy,Margarett
Vernie,Margaretta
Wendell,Margarita
Wilhelm,Marilla
Willian,Mignon
Yee,Mozella
Zeke,Natalie
Ab,Nelia
Abbott,Nolie
Agustus,Omie
Albertus,Opal
Almer,Ossie
Alphonso,Ottie
Alvia,Ottilia
Artie,Parthenia
Arvid,Penelope
Ashby,Pinkey
Augusta,Pollie
Aurthur,Rennie
Babe,Reta
Baldwin,Roena
Barnett,Rosalee
Bartholomew,Roseanna
Barton,Ruthie
Bernie,Sabra
Blaine,Sannie
Boston,Selena
Brad,Sibyl
Bradford,Tella
Bradley,Tempie
Brooks,Tennessee
Buck,Teressa
Budd,Texas
Ceylon,Theda
Chalmers,Thelma
Chesley,Thursa
Chin,Ula
Cleo,Vannie
Crockett,Verona
Cyril,Vertie
Daisy,Wilma
Denver,Adell
Dow,Aggie
Duff,Alcie
Edie,Alfreda
Edith,Alicia
Elick,Allene
Elie,Almyra
Eliga,Anastacia
Eliseo,Andrea
Elroy,Archie
Ely,Aria
Ennis,Arminda
Enrique,Audrey
Erasmus,Aura
Esau,Avie
Everette,Berdie
Firman,Buena
Fleming,Calista
Flora,Cammie
Gardner,Cara
Gee,Celesta
Gorge,Celeste
Gottlieb,Chaney
Gregorio,Chanie
Gregory,Charlie
Gustavus,Charlottie
Halsey,Chrissie
Handy,Christene
Hardie,Christiana
Harl,Cleora
Hayden,Clora
Hays,Coralie
Hermon,Dana
Hershel,Dave
Holly,David
Hosteen,Dayse
Hoyt,Dean
Hudson,Delfina
Huey,Deliah
Humphrey,Delina
Hunt,Delle
Hyrum,Dicy
Irven,Donia
Isam,Dulcie
Ivy,Earl
Jabez,Edward
Jewel,Edwina
Jodie,Ela
Judd,Eleonora
Julious,Elta
Justice,Elvie
Katherine,Elza
Kelly,Elzada
Kit,Emaline
Knute,Ester
Lavern,Eulah
Lawyer,Eulalie
Layton,Euna
John,Mary
William,Anna
James,Emma
George,Elizabeth
Charles,Margaret
Frank,Minnie
Joseph,Ida
Henry,Annie
Thomas,Bertha
Edward,Alice
Robert,Clara
Harry,Sarah
Walter,Ella
Arthur,Nellie
Fred,Grace
Albert,Florence
Samuel,Martha
David,Cora
Louis,Laura
Charlie,Carrie
Clarence,Maude
Richard,Bessie
Joe,Mabel
Andrew,Gertrude
Ernest,Ethel
Will,Jennie
Jesse,Edith
Oscar,Hattie
Daniel,Mattie
Willie,Julia
Benjamin,Rose
Sam,Lillian
Alfred,Lillie
Roy,Eva
Lewis,Jessie
Frederick,Lula
Peter,Myrtle
Elmer,Pearl
Jacob,Edna
Herbert,Catherine
Carl,Ada
Howard,Louise
Tom,Helen
Lee,Lucy
Ralph,Frances
Martin,Dora
Jim,Fannie
Earl,Josephine
Eugene,Daisy
Bert,Lena
Edgar,Maggie
Herman,Katherine
Claude,Rosa
Michael,Marie
Paul,Nora
Ben,Effie
Ira,Blanche
Harvey,May
Chester,Nancy
Edwin,Della
Ed,Agnes
Charley,Nettie
Francis,Sallie
Isaac,Stella
Luther,Ellen
Lawrence,Mamie
Oliver,Lizzie
Clyde,Susie
Otto,Sadie
Hugh,Elsie
Alexander,Maud
Leonard,Flora
Jack,Caroline
Raymond,Etta
Patrick,Mae
Guy,Lulu
Homer,Lydia
Floyd,Alma
Theodore,Susan
Allen,Lottie
August,Addie
Marion,Mollie
Philip,Katie
Warren,Ruth
Horace,Harriet
Dan,Kate
Ray,Amanda
Garfield,Nannie
Stephen,Georgia
Emil,Emily
Jessie,Eliza
Milton,Viola
Willis,Amelia
Calvin,Willie
Dave,Charlotte
Bernard,Rebecca
Julius,Belle
Leroy,Kathryn
Sidney,Jane
Anthony,Olive
Archie,Virginia
Perry,Irene
Leo,Hannah
Leon,Ora
Rufus,Esther
Harold,Matilda
Franklin,Henrietta
Adam,Theresa
Alex,Ollie
Alonzo,Pauline
Everett,Estella
Clifford,Beulah
Victor,Augusta
Eddie,Rachel
Alvin,Mildred
Levi,Josie
Amos,Sara
Roscoe,Amy
Wesley,Louisa
Dennis,Luella
Eli,Leona
Jerry,Anne
Jay,Ann
Hiram,Barbara
Norman,Lola
Percy,Estelle
Aaron,Lela
Gus,Millie
Mark,Nina
Willard,Iva
Moses,Sophia
Earnest,Maria
Gilbert,Ruby
Jake,Victoria
Leslie,Evelyn
Nathan,Mayme
Adolph,Alta
Nelson,Lou
Otis,Janie
Irvin,Betty
Wallace,Delia
Clinton,Eleanor
Lester,Marion
Lloyd,Dorothy
Morris,Ina
Abraham,Celia
Jess,Callie
Elbert,Bettie
Phillip,Allie
Jasper,Inez
Ross,Dollie
Noah,Ola
Wilbur,Lucinda
Claud,Mable
